39.5365 -100 112.554  -0.0100841 0.997505 -0.0698788  
-14.399 -100 95.3365  -0.0364748 0.995795 -0.0840377  
16.3988 -100 56.7706  0.0313739 0.997419 0.0645783  
53.4398 -100 94.9767  -0.0750231 0.997091 -0.0134834  
65.3669 -100 85.4694  -0.0457151 0.997033 0.061925  
32.7225 -100 129.538  0.0439934 0.998754 0.023581  
48.1604 -100 82.2017  0.0719135 0.994067 0.0815978  
19.5074 -100 76.6106  0.0177251 0.994776 0.100532  
95.0758 -100 93.318  -0.0237381 0.993202 0.113959  
31.0349 -100 79.0119  0.00404071 0.998764 0.0495434  
17.8998 -100 134.188  0.0189047 0.996286 -0.0840026  
90.9781 -100 53.0471  0.00663311 0.999172 0.0401418  
-8.25984 -100 73.5527  0.086514 0.995727 -0.0323064  
14.0646 -100 140.59  0.0435997 0.996849 -0.0662616  
65.6738 -100 129.542  -0.0306297 0.999488 -0.00930447  
73.5381 -100 129.914  -0.0731766 0.997317 0.0021329  
18.9163 -100 115.843  0.0360874 0.995869 0.0833171  
21.5347 -100 86.4027  0.0788212 0.992055 0.0980566  
63.4899 -100 127.292  -0.0263639 0.999554 0.0139937  
41.0007 -100 133.008  0.0344168 0.997667 -0.0589619  
44.105 -100 84.7298  -0.00519369 0.998578 0.05305  
81.474 -100 113.954  0.0349774 0.998935 -0.0300956  
27.0261 -100 124.106  0.0601952 0.996478 0.0583757  
22.6741 -100 99.9664  0.0844083 0.996422 -0.00425567  
3.20449 -100 116.707  0.0787851 0.993156 -0.0862244  
60.2176 -100 145.578  -0.0763164 0.997021 -0.0112147  
32.2421 -100 75.246  0.061076 0.996314 0.0602318  
77.6199 -100 88.6151  -0.082027 0.996576 0.0103892  
69.3736 -100 83.2993  0.0141114 0.998778 -0.0473599  
69.6924 -100 111.162  0.0421034 0.998639 0.0307891  
73.2363 -100 141.656  -0.0505668 0.998721 -0.000526145  
61.9083 -100 75.5501  0.0216415 0.988654 0.148644  
71.063 -100 144.923  -0.0848226 0.996396 -0.00081116  
